Plant_Number,PRODUCT,Model,FG CODE,DESCRIPTION
6041,REF-URIL,91999,F01000011200,REF 91999 CHROME PRO HAIRLINE SILVER
6041,REF-URIL,91999,F01000015400,REF 91999 AVANTE+ CLOUD WHITE NEW
6041,REF-URIL,91999,1000012400,REF 91999 AVANTE+ IOT SILKY RED
6041,REF-URIL,91999,1000000259,REF 91999 AVANTE+ IOT SILKY BLACK
6041,REF-URIL,91999,F01000022100,REF 91999 AVANTE+ NEW RUBY RED Dawlance
6041,REF-URIL,91999,F01000031900,REF 91999 AVANTE DIAMOND RED Dawlance
6041,REF-URIL,91999,F01000032000,REF 91999 AVANTE DIAMOND PURPLE Dawlance
6041,REF-URIL,91999,F01000040100,REF 91999 AVANTE+ PLATINUM SILVER Dawlan
6041,REF-URIL,9178,F01000056000,REF 9178LF Acce Pro Crimson Red Dawlance
6041,REF-URIL,9178,F01000052100,REF 9178 Graze+ Gem Black Dawlance
6041,REF-URIL,9191,F01000056100,REF 9191WB Acce Pro Meadow Green Dawlanc
6041,REF-URIL,9193,F01000056400,REF 9193 Acce Pro Crimson Red Dawlance
6041,REF-URIL,9193,F01000056500,REF 9193LF Acce Coral Red Dawlance
6041,REF-URIL,9191,F01000056300,REF 9191WB Acce Pro Crimson Red Dawlance
6041,REF-URIL,9193,F01000056200,REF 9193LF Acce Pro Meadow Green Dawlanc
6041,REF-URIL,9173,F01000055900,REF 9173WB Acce Pro Crimson Red Dawlance
6041,REF-URIL,9173,F01000055700,REF 9173WB Acce Pro Meadow Green Dawlanc
6041,REF-URIL,9178,F01000055800,REF 9178LF Acce Pro Meadow Green Dawlanc
6041,REF-URIL,9191,F01000056600,REF 9191WB Acce Coral Red Dawlance
6041,REF-URIL,9173,F01000052000,REF 9173 Graze+ Gem Black Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000051900,DBM 7860 INV INOX Dawlance
6041,REF-URIL,91999,F01000040200,REF 91999 AVANTE+ IMPERIAL RED Dawlance
6041,REF-URIL,91999,F01000040300,REF 91999 AVANTE+ MIDNIGHT GREEN Dawlanc
6041,REF-URIL,91999,1000036308,DTM-7650 INV GD IOT
6041,REF-URIL,91999,F01000038800,REF 91999 CHROME PRO HAIRLINE SILVER (Y)
6041,REF-URIL,91999,F01000038900,REF 91999 AVANTE+ CLOUD WHITE Yemen Dawl
6041,REF-URIL,91999,F01000007000,REF 91999 AVANTE NOIR GREEN (YEMEN)
6041,REF-URIL,91999,F01000013200,REF 91999 AVANTE+ EMERALD GREEN NEW
6041,REF-URIL,91999,F01000043900,REF 91999 Graze+ Gem Black
6062,Split-SKD,10 Inv,F01000029600,Mega T+ Inverter 10 (Cool Only) Dawlance
6062,AWM-TL,1006/1016,F01000048600,DWT 1006 Mystic Grey Dawlance
6062,SAWM,6100,F01000053300,S100AST70ITPDW1 SINGER
6062,AWM-TL,1006/1016,F01000048700,DWT 1016 DDM INV PRIMA Dawlance
6062,Split-SKD,15 Inv,F01000019200,SPLIT AC MEGA T + 15 Dawlance
6062,Split-SKD,15 Inv,F01000035702,Econo+ X Inverter 15 Dawlance
6062,Split-SKD,15 Inv,F01000035803,Aura X Inverter 15 Dawlance
6062,Split-SKD,15 Inv,F01000035900,Elegance X Inverter 15 Dawlance
6062,Split-SKD,15 Inv,F11041012830,SPLIT AC DAC- AURA INVERTOR 15 (WHITE)
6062,Split-SKD,15 Inv,F11041012230,SPLIT AC DAC- ECONO INVERTOR 15 (WHITE)
6062,Split-SKD,15 Inv,F11041012530,SPLIT AC DAC- ELEGANCE INVERTOR 15 (WHIT
6062,Split-SKD,15 Inv,F01000000060,SPLIT AC ENERCON SERIES 15
6062,Split-SKD,15 Inv,F01000017900,SPLIT AC MEGA T- Pro 15 Dawlance
6062,Split-SKD,15 Inv,F01000000064,SPLIT AC POWERCON SERIES 15
6062,Split-SKD,15 Inv,F01000000062,SPLIT AC SPRINTER SERIES 15
6062,Split-SKD,15 Inv,F01000023100,SPLIT AC LVS PRO 15 ON/OFF Dawlance
6062,Split-SKD,30 Inv,F01000000063,SPLIT AC SPRINTER SERIES 30
6062,Split-SKD,30 Inv,F01000000061,SPLIT AC ENERCON SERIES 30
6062,Split-SKD,30 Inv,F01000017700,SPLIT AC MEGA T-Pro 30 Dawlance
6062,Split-SKD,30 Inv,F01000017800,SPLIT AC MEGA T+ 30 Dawlance
6062,Split-SKD,30 Inv,F01000035601,Elegance X Inverter 30 Dawlance
6062,Split-SKD,30 Inv,F01000035500,Aura X Inverter 30 Dawlance
6062,Split-SKD,30 Inv,F01000035400,Econo+ X Inverter 30 Dawlance
6062,Split-SKD,30 Inv,F11041014230,SPLIT AC DAC- AURA INVERTOR 30 (WHITE)
6062,Split-SKD,30 Inv,F11041013930,SPLIT AC DAC- ELEGANCE INVERTOR 30 (WHIT
6062,Split-SKD,30 Inv,F01000000262,SPLIT AC ELEGANCE PLUS 30 INVRTR WITH UV
6062,Split-SKD,30 Inv,F01000000261,SPLIT AC ELEGANCE PLUS 30 INVERTER
6062,Split-SKD,30 Inv,F01000000065,SPLIT AC POWERCON SERIES 30
6062,Split-SKD,30 Inv,F01000023200,SPLIT AC EXTREME 30 ON/OFF Dawlance
6062,Split-SKD,45 Inv,F01000018900,SPLIT AC AURA SERIES 45 Dawlance
6062,Split-SKD,45 Inv,F01000000097,SPLIT AC ECONO SERIES 45
6062,Split-SKD,45 Inv,F01000000096,SPLIT AC ELEGANCE SERIES 45
6062,Split-SKD,45 Inv,F01000000068,SPLIT AC ENERCON SERIES 45
6062,Split-SKD,45 Inv,F01000000070,SPLIT AC POWERCON SERIES 45
6062,MWO,Active,F11061009405,MWO DW-MD-4-N-BLACK
6062,MWO,Active,F11061004100,MWO DW-MD4
6062,MWO,Active,F11061009300,MWO DW-295
6062,MWO,Active,F11061009000,MWO DW-MD7
6062,MWO,Active,F11061010200,MWO DW-MD10
6062,MWO,Active,F11061010400,MWO DW-297-GSS
6062,MWO,Active,F11061013230,MWO DW-210 S SOLO WHITE
6062,MWO,Active,F01000000282,MWO DW-210 S PRO
6062,MWO,Active,F01000000129,MWO DW-MD 15 SOLO WHITE
6062,MWO,Active,F01000000148,MWO DW-220 S SOLO
6062,MWO,Active,F11061012573,MWO DW-374 (CHAMPAGNE)
6062,MWO,Active,F11061012600,MWO DW-132 S DIGITAL SOLO
6062,MWO,Active,F11061012200,MWO DW-115-CHZP
6062,MWO,Active,F01000017000,MWO DW 560 INV Dawlance
6062,MWO,Active,F01000016900,MWO DW 395 HCG
6062,MWO,Active,F11061011600,MWO DW-128-G
6062,MWO,Active,F11061008200,MWO DW-131-HP
6062,MWO,Active,F11061014505,MWO DW-550 AF AIR FRYER BLACK
6062,MWO,Active,F01000017100,MWO DW 530 - AF Dawlance
6062,MWO,Active,F11061011700,MWO DW-136-G
6062,MWO,Active,F11061011900,MWO DW-142-HZP
6062,MWO,Active,F11061012000,MWO DW-162-HZP
6062,MWO/bi oven,Active,F01000000176,MWO DBMO 25 IG SERIES
6062,MWO/bi oven,Active,F01000000177,MWO DBMO 25 BG SERIES
6062,MWO,Active,F01000032300,MD 20 INV Dawlance
6062,MWO,Active,F11061010700,MWO DW-393-GSS
6062,MWO,Active,F01000032500,DW - 393 G Dawlance
6062,MWO,Active,F01000032400,DW-390 S Dawlance
6062,MWO,Active,F01000032600,DW-133 RG Dawlance
6062,MWO,Active,F11061012700,MWO DW-388 DIGITAL SOLO
6062,MWO,Active,F11061010600,MWO DW-133-G
6062,Split-Local,Avante-20,F01000029800,Avante Inverter 20 (Elegant White)
6062,Split-Local,Avante-30,F01000026800,AVANTE INVERTER 30 (CLASSIC MAROON)-WB D
6062,Split-Local,Avante-30,F01000026200,AVANTE INVERTER 30 (ELEGANT WHITE)-WB Da
6062,Split-Local,Avante-30,F01000045500,AVANTE INVERTER 30 DESIGNER CHAMPAGNE Da
6062,Split-Local,Avante-30,F01000019100,AVANTE INVERTER 30 (ELEGANT WHITE) Dawla
6062,Split-Local,Avante-30,F01000000270,AVANTE INVERTER 30 (DARK MAROON)
6062,Split-Local,Avante-30,F01000045300,AVANTE INVERTER 30 ELEGANT WHITE Dawlanc
6062,Split-Local,Hyper T3 Inv-30,1000050900,Hyper T3 Inverter 30 White Home Whiz Daw
6062,Split-Local,Avante-30,F01000045400,AVANTE INVERTER 30 CLASSIC MAROON Dawlan
6062,Split-Local,Avante-30,F01000026300,AVANTE INVERTER 30(DESIGNER CHAMPAGNE)WB
6062,Split-Local,Chrome Plus-20,F01000027600,Chrome+ Inverter 20 (Copper Stamp)
6062,Split-Local,Chrome Plus-20,F01000029700,Chrome+ Inverter 20 (Black) WB
6062,Split-Local,Chrome Plus-20,F01000029900,Chrome+ Inverter 20 (Matt Silver) WB
6062,Split-Local,Chrome Plus-20,F01000027800,Chrome+ Inverter 20 (Silver Stamp)
6062,Split-Local,Chrome Plus-30,F01000026500,CHROME+INVERTER 30 WHITE(Silver Stamp)WB
6062,Split-Local,Chrome Plus-30,F01000045600,Chrome+ Inverter 30 White Dawlance
6062,Split-Local,Chrome Plus-30,F01000025300,CHROME+ INVERTER 30 (SILVER-WHITE) Dawla
6062,Split-Local,Chrome Plus-30,F01000018100,CHROME+ INVERTER 30 (COOL MINT) - CHS Da
6062,Split-Local,Chrome Plus-30,F01000000267,SPLIT AC CHROME PLUS INVERTER COPPER 30
6062,Split-Local,Chrome Plus-30,F01000000268,SPLIT AC CHROME PLUS INVERTER SILVER 30
6062,Split-Local,Chrome Plus-30,F01000000266,SPLIT AC CHROME PLUS INVERTER WHITE 30
6062,Split-Local,Chrome Plus-30,F01000021600,CHROME+ INVERTER 30 (MATT BLACK - SHS) D
6062,Split-Local,Chrome Plus-45,F01000027700,Chrome+ Inverter 45 (Copper Stamp) Dawla
6062,Split-Local,Chrome Plus-45,F01000028000,Chrome+ Inverter 45 (Silver Stamp) Dawla
