Plant_Number,PRODUCT,Model,FG CODE,DESCRIPTION
6062,Split-SKD,15 Inv,F01000050700,Mega T3 Pro Inverter 15 Dawlance
6062,Split-SKD,45 Inv,F01000052300,Gallant+ Inverter 45 Dawlance
6062,Split-SKD,FS 45 Inv,F01000000165,DAWLANCE GALLANT FS INVERTER 45
6062,Split-SKD,FS 45 Inv,F01000021100,GLAMOUR INVERTER 45 FS Dawlance
6062,Split-Local,Hyper T3 Inv-30,F01000041700,Hyper T3 Inverter 30 Dawlance
6062,Split-Local,Suave Inv-30,F01000049700,Suave+ Inverter 30 White Dawlance
6062,Split-Local,Suave Inv-30,F01000050400,Suave+ Inverter 30 Silver Dawlance
6062,Split-Local,Hyper T3 Inv-30,F01000043000,Hyper T3 Inverter 30 Silver Dawlance
6062,SDA-CKD,KETTLE,F01000030300,DWEK 7100
6062,SDA-CKD,KETTLE,F01000030400,DWEK 7200
6062,SDA-CKD,KETTLE,F01000000279,ELECTRIC KETTLE DWEK-7210
6062,SDA-CKD,KETTLE,F01000030500,DWEK 7210
6062,Split-Local,Magna Inv -30,F01000037000,Magna Inverter 30 Dawlance
6062,Split-Local,Magna Inv -30,F01000042900,MAGNA INVERTER 30 PLAIN SILVER
6062,Split-Local,Magna Inv -30,F01000042800,Magna Inverter 30 Textured White Dawlanc
6062,Split-Local,Magna T3 Inv-30,F01000049900,Magna T3 Inverter 30 Silver Plain Dawlan
6062,Split-Local,Magna T3 Inv-30,F01000049800,Magna T3 Inv 30 Milky White Textured Daw
6062,Split-Local,Magna T3 Inv-30,F01000049600,Magna T3 Inverter 30 Milky White Plain D
6062,Split-Local,Magna Inv -30,F01000048800,Magna Inverter 30 Milky White Plain Dawl
6041,REF-URIL SKD,REF-URIL SKD,F01000035200,DSS-9055 INV GD Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000035300,DSS-9055 INV INOX Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000044800,DMD 7950 INV GD Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000044700,DMD 7950 INV INOX Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000044900,DMD 9060 INV INOX Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000046500,DTM 8365 INV INOX Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000045000,DMD 9060 INV GD Dawlance
6041,REF-URIL SKD,REF-URIL SKD,F01000014500,DAWLANCE SBS 600 INV INOX
6041,REF-DPL,9169,F01000053400,REF 9169WB AVANTE+ CLOUD WHITE Dawlance
